param n:= 98 ;
param r:= 2 ;

param Tmax:= 1000 ;

param cant_clases:= 10 ;

param b:=
9 506
10 448
11 574
12 279
13 306
14 234
15 263
16 573
17 239
18 211
19 575
20 586
21 517
22 190
23 277
24 298
25 564
26 408
27 400
28 292
29 329
30 300
31 465
32 243
33 577
34 273
35 365
36 533
37 510
38 335
39 541
40 580
41 323
42 313
43 257
44 440
45 381
46 483
47 445
48 273
49 441
50 277
51 492
52 469
53 378
54 587
55 392
56 382
57 297
58 303
59 497
60 195
61 384
62 267
63 273
64 300
65 382
66 454
67 198
68 577
69 575
70 591
71 212
72 220
73 203
74 577
75 506
76 544
77 629
78 544
79 220
80 218
81 630
82 495
83 513
84 369
85 392
86 331
87 588
88 534
89 217
90 258
91 443
92 361
93 430
94 203
95 345
96 325
97 1000
;

param t
:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97 :=
0	0.0	6.85	44.6	65.77	58.55	82.0	73.04	82.86	126.1	24.39	45.72	27.76	56.77	94.3	45.12	29.13	53.74	37.73	43.79	46.48	59.95	27.34	18.39	41.02	53.57	16.08	32.13	108.65	25.24	15.88	39.95	48.56	8.35	12.55	86.89	45.75	38.38	32.94	73.27	108.62	71.72	37.47	18.29	54.73	37.59	37.07	26.56	5.94	54.27	75.92	77.16	63.45	34.76	57.35	20.97	51.08	31.53	15.41	25.52	30.33	12.48	39.89	33.77	69.36	52.54	4.62	33.72	42.82	85.64	28.76	31.66	37.77	11.7	31.66	52.61	72.55	70.52	55.68	17.14	34.59	52.04	30.81	46.93	48.11	35.02	22.46	44.48	6.12	13.25	31.81	52.96	30.82	66.84	62.77	20.5	11.16	34.38	0.0
1	6.85	0.0	37.77	59.86	64.06	79.95	66.45	80.05	132.73	26.51	39.09	33.05	50.79	101.15	38.38	28.68	56.17	40.67	36.98	51.64	63.64	31.52	12.52	42.04	46.73	22.43	36.32	113.12	30.6	22.25	40.52	53.72	8.07	6.82	91.07	50.39	33.06	36.79	78.35	110.27	73.82	44.32	11.75	61.58	41.45	42.65	28.02	2.86	47.79	79.55	70.37	56.61	40.95	52.74	26.94	55.37	25.39	20.55	32.08	37.14	18.13	46.13	38.35	76.07	54.68	6.11	27.94	36.05	90.74	31.07	38.51	33.27	17.65	36.2	57.4	71.61	64.06	61.75	10.92	39.73	45.19	36.78	50.99	47.02	41.65	17.36	50.84	10.6	6.84	37.81	58.99	33.88	71.32	68.01	18.37	17.85	27.71	6.85
2	44.6	37.77	0.0	37.82	98.83	75.34	30.29	70.94	168.78	52.93	6.78	68.44	30.45	138.74	11.16	50.76	76.93	65.87	8.4	82.99	88.63	64.82	30.06	64.99	9.33	58.95	69.14	138.94	66.28	59.69	62.24	87.85	40.85	32.94	120.78	83.28	29.34	65.58	108.01	122.61	96.59	82.01	27.89	99.27	69.52	78.22	55.72	39.06	14.73	107.74	34.81	20.08	77.8	44.6	63.77	83.36	22.47	56.65	69.64	74.57	53.85	83.02	69.07	113.74	74.53	42.19	25.16	9.96	120.03	56.58	76.21	35.19	53.87	67.05	87.02	81.27	34.42	98.03	28.33	74.44	7.9	71.6	82.24	60.61	78.32	31.12	86.4	46.53	31.62	74.37	95.22	64.28	98.87	98.78	37.84	55.59	15.17	44.6
3	65.77	59.86	37.82	0.0	103.62	112.95	52.55	108.01	190.56	83.4	44.23	78.66	9.13	155.49	27.61	52.37	110.97	97.62	30.54	111.31	121.09	72.66	47.44	61.09	33.67	81.83	75.3	171.49	77.41	76.06	58.09	92.73	66.6	58.91	115.21	86.84	28.05	95.38	137.83	159.7	85.21	100.16	48.34	116.56	99.86	87.12	60.23	62.41	48.64	101.38	29.05	29.38	89.75	19.4	77.7	114.06	34.51	70.6	85.1	94.53	77.95	94.46	97.69	126.67	108.84	65.9	32.05	29.87	150.2	87.74	94.55	31.29	77.37	95.54	116.69	59.45	13.16	106.29	55.82	82.39	33.69	96.54	83.6	48.98	100.22	43.54	110.13	70.46	56.87	86.01	103.61	68.69	130.05	127.68	69.34	74.12	34.45	65.77
4	58.55	64.06	98.83	103.62	0.0	135.29	128.95	138.07	102.29	73.17	101.82	31.02	96.85	61.41	94.93	51.82	92.59	78.66	94.91	69.66	89.7	34.03	68.79	43.38	106.48	53.67	29.9	122.43	33.46	43.18	46.16	11.16	66.21	70.74	34.45	16.79	78.3	71.46	87.45	144.35	42.51	37.05	71.23	36.76	73.99	21.48	44.63	64.33	111.0	30.55	125.33	114.29	25.22	86.43	37.68	79.35	78.54	43.51	35.56	42.79	57.88	21.27	67.86	31.07	93.04	62.84	77.91	93.36	96.63	75.32	38.51	73.28	56.76	67.23	76.42	68.75	113.64	9.5	74.96	24.52	104.98	56.45	20.49	57.89	47.61	68.25	54.22	60.79	70.87	27.21	9.86	35.7	88.65	78.38	77.71	48.42	84.83	58.55
5	82.0	79.95	75.34	112.95	135.29	0.0	72.03	9.53	156.27	62.17	68.76	107.56	105.78	143.54	86.27	108.16	50.79	58.67	83.33	75.94	62.91	108.86	85.67	121.97	79.8	81.73	113.51	96.95	105.09	94.0	120.34	127.31	73.72	74.0	167.22	125.99	99.67	65.43	84.63	58.33	153.61	101.2	82.16	113.35	64.48	115.14	107.92	77.97	65.21	157.29	99.68	87.7	110.14	118.56	99.64	67.83	89.72	96.53	99.89	93.7	78.03	114.09	69.95	132.31	48.76	77.45	93.67	84.5	91.67	60.03	97.8	103.87	79.29	69.83	73.23	149.21	107.0	129.29	72.43	114.24	79.5	81.04	128.12	125.13	91.22	90.76	90.76	77.37	75.34	108.69	127.1	112.81	73.76	82.18	61.75	88.97	84.35	82.0
6	73.04	66.45	30.29	52.55	128.95	72.03	0.0	64.53	192.83	75.08	27.39	98.33	49.6	165.7	37.2	80.83	92.23	85.36	35.96	104.77	105.59	94.98	60.19	94.77	24.36	85.73	99.36	153.76	96.08	88.7	91.94	118.03	67.73	60.64	150.88	113.54	57.28	87.19	127.2	127.6	125.72	109.68	57.75	126.76	90.28	108.12	85.99	67.19	18.97	137.71	29.56	23.25	107.25	67.04	93.17	102.81	52.28	86.26	98.52	101.83	80.39	112.46	91.47	142.33	89.54	69.88	54.39	37.76	138.42	77.64	104.01	63.4	80.71	89.71	107.33	107.1	41.76	127.78	55.95	104.49	25.58	96.52	112.52	88.87	104.56	61.4	111.3	73.75	59.79	103.94	124.98	94.57	116.93	119.27	61.0	84.2	45.15	73.04
7	82.86	80.05	70.94	108.01	138.07	9.53	64.53	0.0	164.2	65.02	64.21	109.37	101.31	149.88	82.05	107.59	57.55	63.5	79.17	81.88	70.33	110.09	84.45	121.78	74.48	84.41	114.83	106.23	106.86	95.9	119.95	129.57	74.5	73.74	169.16	127.82	96.84	69.89	92.51	67.69	153.86	105.17	80.9	118.23	69.5	117.44	108.05	78.34	59.6	158.69	92.91	81.64	112.85	115.01	101.57	74.34	87.13	97.85	102.52	97.41	80.29	117.06	74.6	137.09	55.3	78.25	91.02	80.47	100.08	63.48	101.37	101.43	81.47	74.23	79.8	147.46	101.22	132.58	71.6	116.16	74.34	85.3	129.57	123.79	95.55	89.28	96.04	78.72	74.86	111.12	130.28	113.57	81.51	89.37	62.36	90.74	81.27	82.86
8	126.1	132.73	168.78	190.56	102.29	156.27	192.83	164.2	0.0	117.75	167.83	114.09	181.91	41.24	171.08	141.02	107.65	108.61	169.51	88.44	94.12	120.77	144.23	139.76	178.1	110.39	119.94	74.04	114.67	114.5	141.73	108.87	128.09	136.19	124.73	114.66	162.51	105.78	71.69	123.66	144.46	90.45	144.38	74.76	103.11	107.98	133.12	130.74	174.32	129.04	202.85	188.61	103.15	177.92	113.28	92.48	157.33	120.11	105.75	96.17	115.2	99.47	101.38	71.29	110.22	127.33	158.97	168.7	65.54	115.33	96.01	159.87	115.36	103.12	87.26	170.23	196.51	94.34	140.62	112.71	176.63	97.19	119.88	154.62	91.09	147.3	82.39	122.75	137.8	106.68	96.01	126.53	82.71	75.99	132.15	116.63	160.44	126.1
9	24.39	26.51	52.93	83.4	73.17	62.17	75.08	65.02	117.75	0.0	50.78	45.9	74.3	92.58	58.18	53.52	29.67	14.39	55.88	30.18	37.82	48.18	38.14	64.92	62.15	19.56	52.55	88.09	43.52	32.42	64.09	65.18	18.45	24.84	105.19	64.17	58.49	12.65	55.26	84.25	94.27	40.94	36.02	55.96	16.72	53.02	50.47	23.66	56.64	95.78	87.74	72.99	47.99	78.71	37.9	30.85	49.47	36.06	37.72	32.86	16.25	52.06	16.46	74.07	28.27	21.05	52.77	55.64	67.44	4.57	36.61	59.49	17.59	14.63	34.14	96.93	85.08	67.57	27.58	52.4	60.79	22.81	66.73	72.48	32.5	43.47	36.9	18.37	26.93	46.53	65.25	53.16	46.75	45.84	15.1	27.75	49.1	24.39
10	45.72	39.09	6.78	44.23	101.82	68.76	27.39	64.21	167.83	50.78	0.0	71.06	37.12	139.07	17.94	55.38	72.98	62.95	15.17	80.97	85.18	67.96	33.3	69.86	12.63	59.01	72.45	135.18	68.78	61.32	67.22	90.99	40.85	33.44	125.11	86.71	35.54	63.37	105.28	117.04	101.85	82.68	30.61	99.85	67.05	80.84	59.71	39.92	9.38	112.28	37.89	23.18	79.86	51.37	65.79	80.58	27.8	58.91	71.17	74.97	53.74	85.07	67.18	115.07	70.48	42.74	30.9	16.67	117.12	54.08	76.95	41.22	53.94	65.24	84.53	87.6	39.78	100.43	28.73	77.32	11.74	70.77	86.03	66.4	78.16	35.29	85.62	46.79	32.48	76.57	97.64	68.01	95.78	96.4	35.86	56.88	20.55	45.72
11	27.76	33.05	68.44	78.66	31.02	107.56	98.33	109.37	114.09	45.9	71.06	0.0	70.78	77.08	65.62	27.07	70.62	54.9	65.24	53.15	71.83	6.76	38.45	27.74	76.5	26.93	8.11	114.15	2.54	13.56	28.92	20.8	35.74	39.76	59.79	18.45	51.29	48.03	77.32	125.42	49.98	25.75	40.6	39.34	51.75	9.79	19.08	33.42	80.14	49.88	97.06	85.0	11.16	64.15	8.0	61.4	49.43	12.5	11.76	24.8	29.68	15.82	45.89	48.06	70.35	32.2	49.55	63.81	88.76	49.03	21.97	47.37	28.38	44.52	60.39	61.85	86.97	29.64	43.94	6.86	74.98	36.2	20.86	41.57	31.93	38.79	42.32	30.78	39.85	7.46	26.83	13.16	74.64	66.76	47.63	18.64	55.09	27.76
12	56.77	50.79	30.45	9.13	96.85	105.78	49.6	101.31	181.91	74.3	37.12	70.78	0.0	147.3	19.61	45.14	102.02	88.54	22.58	102.2	112.02	65.01	38.41	55.2	28.0	72.85	67.94	162.39	69.4	67.48	52.16	85.83	57.48	49.78	110.56	80.08	19.61	86.26	128.71	151.27	81.6	91.61	39.23	108.18	90.74	79.53	52.79	53.32	42.7	96.77	30.89	26.6	81.79	17.66	69.38	104.94	25.42	62.19	76.7	85.79	68.89	86.61	88.57	118.84	99.91	56.81	23.09	21.65	141.07	78.65	85.95	23.68	68.33	86.41	107.57	58.49	16.89	98.99	46.73	74.87	27.68	87.5	77.17	44.49	91.37	34.69	101.19	61.38	47.75	78.05	96.27	61.47	120.93	118.56	60.32	65.35	25.45	56.77
13	94.3	101.15	138.74	155.49	61.41	143.54	165.7	149.88	41.24	92.58	139.07	77.08	147.3	0.0	139.08	104.08	92.77	87.68	137.96	68.1	81.76	83.46	111.34	100.86	147.83	80.07	81.85	86.17	78.14	80.43	103.09	68.79	98.22	105.86	83.99	74.79	127.69	82.66	64.5	126.68	103.32	56.84	112.19	39.61	81.58	69.66	96.05	99.69	146.74	87.82	171.2	157.73	65.92	141.15	77.95	75.72	124.01	85.22	70.78	64.18	85.36	61.54	77.77	30.81	94.8	96.57	125.01	136.88	65.81	91.51	62.66	124.25	85.14	78.91	70.33	129.89	162.91	53.97	110.54	74.5	146.3	69.9	79.86	115.87	61.17	113.48	55.84	92.33	107.12	69.63	55.92	88.6	73.04	62.59	105.09	83.67	128.23	94.3
14	45.12	38.38	11.16	27.61	94.93	86.27	37.2	82.05	171.08	58.18	17.94	65.62	19.61	139.08	0.0	44.55	84.33	71.94	2.97	87.51	95.21	61.11	27.85	57.95	12.84	60.69	65.04	145.71	63.7	58.8	55.05	83.79	43.38	35.24	114.33	78.75	20.09	70.64	113.38	132.11	88.53	82.3	26.93	99.47	74.89	75.21	50.62	40.34	25.03	100.96	32.12	19.41	75.79	33.52	62.1	89.02	16.39	54.75	68.68	75.43	56.0	80.94	73.59	112.58	82.08	43.78	17.58	2.54	125.61	62.24	76.47	26.21	55.75	71.48	92.2	71.13	26.9	95.17	31.22	71.04	11.66	74.47	77.05	51.72	80.02	26.85	88.95	48.39	33.46	72.18	92.36	59.49	104.85	103.67	43.4	55.42	10.85	45.12
15	29.13	28.68	50.76	52.37	51.82	108.16	80.83	107.59	141.02	53.52	55.38	27.07	45.14	104.08	44.55	0.0	82.74	66.6	45.13	72.19	87.95	20.62	23.74	14.72	56.96	40.85	22.93	134.89	26.35	29.27	12.47	40.73	36.13	34.17	70.06	35.12	26.55	61.22	98.45	137.74	47.24	51.36	27.26	66.27	65.77	34.86	8.03	31.11	64.73	56.98	73.7	63.5	38.21	37.09	28.42	78.41	28.58	22.94	35.89	47.83	39.81	42.57	61.14	74.57	81.62	32.81	27.0	43.41	110.55	57.87	46.44	21.49	38.6	59.19	79.0	43.42	61.86	53.93	35.99	30.08	55.57	54.95	32.76	19.06	54.66	20.22	65.37	35.18	32.83	34.53	51.24	16.35	93.55	87.71	47.0	30.21	35.68	29.13
16	53.74	56.17	76.93	110.97	92.59	50.79	92.23	57.55	107.65	29.67	72.98	70.62	102.02	92.77	84.33	82.74	0.0	16.24	81.7	25.89	13.93	74.46	67.51	93.17	85.44	44.2	78.24	62.24	68.59	58.25	92.67	86.98	48.1	53.9	126.62	87.55	87.52	22.64	36.73	55.31	120.52	55.84	65.12	64.78	18.98	75.44	78.94	53.32	76.09	119.12	110.86	96.15	69.06	107.92	62.96	17.08	78.07	63.23	60.05	49.89	43.42	71.7	25.07	83.65	2.73	50.68	81.59	81.84	46.76	25.13	54.16	88.93	44.74	26.18	22.44	126.08	110.9	85.0	55.84	76.23	84.31	36.21	91.12	101.79	45.21	72.94	41.81	47.63	55.98	68.9	83.3	80.24	25.72	31.96	41.79	54.61	76.57	53.74
17	37.73	40.67	65.87	97.62	78.66	58.67	85.36	63.5	108.61	14.39	62.95	54.9	88.54	87.68	71.94	66.6	16.24	0.0	69.51	20.36	23.48	58.44	52.5	76.94	74.88	28.18	62.35	73.9	52.77	42.22	76.43	72.19	32.68	39.23	112.17	72.28	72.89	7.2	42.34	71.53	104.61	42.93	50.42	54.78	6.11	60.35	62.71	37.81	67.7	104.01	100.55	85.74	54.31	93.08	47.1	17.65	63.84	47.05	44.79	35.98	27.18	57.45	11.3	73.69	15.53	34.94	67.15	69.4	54.2	9.91	40.23	73.81	28.5	11.48	21.97	109.89	98.81	71.73	41.83	60.76	73.6	22.64	75.59	85.66	32.67	57.79	32.63	31.62	41.32	53.76	69.78	64.11	33.02	33.91	28.54	38.43	63.22	37.73
18	43.79	36.98	8.4	30.54	94.91	83.33	35.96	79.17	169.51	55.88	15.17	65.24	22.58	137.96	2.97	45.13	81.7	69.51	0.0	85.4	92.72	60.97	27.06	58.85	11.83	59.13	65.02	143.21	63.25	57.88	55.99	83.8	41.58	33.42	115.11	78.89	21.69	68.4	111.13	129.21	89.83	81.13	25.79	98.35	72.6	74.9	50.86	38.8	22.68	101.83	33.4	19.92	75.21	36.21	61.39	86.69	16.61	54.08	67.81	74.12	54.33	80.39	71.47	111.82	79.42	42.19	18.43	1.81	123.32	59.88	75.31	27.74	54.15	69.37	89.97	73.25	29.32	94.85	29.24	70.83	10.45	72.69	77.39	53.29	78.51	26.66	87.26	46.76	31.73	71.64	92.04	59.67	102.47	101.51	41.0	54.3	10.14	43.79
19	46.48	51.64	82.99	111.31	69.66	75.94	104.77	81.88	88.44	30.18	80.97	53.15	102.2	68.1	87.51	72.19	25.89	20.36	85.4	0.0	20.05	58.52	64.16	79.33	92.24	31.52	61.26	62.72	51.7	43.6	79.61	65.79	44.74	52.63	104.1	67.61	84.65	17.65	26.79	74.72	102.43	32.7	62.98	39.11	14.68	55.39	66.41	48.97	86.61	98.11	117.77	103.06	48.45	103.82	46.7	9.85	76.81	49.73	41.47	28.96	34.01	49.88	13.95	57.86	27.45	45.53	79.56	84.98	39.17	27.15	32.82	84.24	34.88	16.03	7.24	113.61	114.26	61.31	56.32	57.39	90.87	17.41	71.95	90.72	22.54	68.78	16.3	41.1	54.6	49.33	59.97	65.01	21.63	16.38	45.21	41.98	77.76	46.48
20	59.95	63.64	88.63	121.09	89.7	62.91	105.59	70.33	94.12	37.82	85.18	71.83	112.02	81.76	95.21	87.95	13.93	23.48	92.72	20.05	0.0	76.64	75.74	96.75	97.43	47.42	79.83	50.5	70.13	60.9	96.68	85.65	55.8	62.65	124.14	87.2	96.23	27.01	22.84	54.69	121.62	52.73	73.79	58.13	22.36	74.94	83.09	60.79	88.95	118.0	123.04	108.25	68.1	116.31	64.79	10.54	87.29	66.62	60.4	48.49	48.2	69.8	26.89	76.36	16.64	57.72	90.57	92.68	32.96	33.39	52.52	96.91	49.37	28.78	13.61	130.61	122.04	81.31	65.31	76.6	96.23	35.65	91.34	106.92	42.43	80.93	35.97	53.94	64.74	68.7	80.01	82.91	11.79	19.38	51.89	58.25	86.68	59.95
21	27.34	31.52	64.82	72.66	34.03	108.86	94.98	110.09	120.77	48.18	67.96	6.76	65.01	83.46	61.11	20.62	74.46	58.44	60.97	58.52	76.64	0.0	34.79	21.32	72.48	30.27	4.82	120.11	7.07	16.22	22.29	23.05	35.66	38.34	59.64	18.98	45.7	51.84	83.28	129.59	46.24	32.4	37.36	46.06	55.84	14.53	12.59	32.46	77.21	48.61	92.08	80.51	17.68	57.68	11.86	66.35	44.75	12.33	17.78	30.83	32.02	21.95	50.2	54.04	73.97	31.95	44.48	59.45	94.88	51.72	28.34	41.42	30.66	48.65	65.71	55.63	81.42	34.28	42.13	10.0	70.98	41.27	19.6	34.85	37.98	34.31	48.53	31.49	38.07	14.09	31.5	6.65	80.12	72.65	47.8	20.45	50.86	27.34
22	18.39	12.52	30.06	47.44	68.79	85.67	60.19	84.45	144.23	38.14	33.3	38.45	38.41	111.34	27.85	23.74	67.51	52.5	27.06	64.16	75.74	34.79	0.0	38.43	38.07	34.47	39.2	125.49	36.35	30.97	36.19	57.84	19.96	13.74	92.14	53.43	20.6	49.08	90.86	120.63	70.97	54.66	3.57	71.75	53.71	48.2	26.69	15.23	42.63	79.63	59.92	46.97	48.18	40.59	34.33	67.74	13.15	27.03	40.84	48.13	30.52	53.37	50.83	84.78	65.82	18.63	15.44	25.78	103.25	42.7	48.86	21.42	29.93	48.67	69.88	63.64	52.29	68.08	13.46	44.38	36.55	49.1	52.76	39.47	53.26	5.55	62.87	23.1	11.75	44.64	65.27	34.75	83.71	80.53	26.93	27.81	17.02	18.39
23	41.02	42.04	64.99	61.09	43.38	121.97	94.77	121.78	139.76	64.92	69.86	27.74	55.2	100.86	57.95	14.72	93.17	76.94	58.85	79.33	96.75	21.32	38.43	0.0	70.63	49.44	20.34	141.31	28.38	35.9	3.04	33.15	48.82	48.07	56.44	26.98	38.64	70.88	104.5	148.47	32.54	53.46	41.92	65.74	75.19	31.82	14.47	44.16	79.18	43.01	85.25	76.3	37.38	43.18	32.75	86.68	42.57	30.17	39.1	52.13	49.76	40.41	69.94	70.3	92.34	45.23	40.44	57.08	116.17	69.01	49.64	32.77	48.44	68.19	86.45	34.38	72.08	47.81	50.31	27.22	69.3	61.95	22.92	15.01	59.27	34.89	69.85	46.69	46.92	34.31	45.45	14.67	100.96	93.83	60.36	38.69	49.83	41.02
24	53.57	46.73	9.33	33.67	106.48	79.8	24.36	74.48	178.1	62.15	12.63	76.5	28.0	147.83	12.84	56.96	85.44	74.88	11.83	92.24	97.43	72.48	38.07	70.63	0.0	68.18	76.62	147.59	74.43	68.38	67.75	95.4	50.12	42.15	126.92	90.58	32.92	74.79	117.11	129.48	101.36	91.04	36.3	108.3	78.67	86.23	62.62	48.15	14.98	113.63	25.67	10.87	86.19	44.38	72.23	92.43	28.43	65.01	78.34	83.7	63.11	91.4	78.34	122.46	82.97	51.34	30.19	13.56	129.07	65.71	85.23	39.04	63.1	76.33	96.18	83.39	27.52	106.14	37.58	82.27	1.54	80.93	89.17	64.53	87.57	38.26	95.71	55.74	40.76	82.69	103.32	71.39	107.83	107.97	47.06	64.46	21.67	53.57
25	16.08	22.43	58.95	81.83	53.67	81.73	85.73	84.41	110.39	19.56	59.01	26.93	72.85	80.07	60.69	40.85	44.2	28.18	59.13	31.52	47.42	30.27	34.47	49.44	68.18	0.0	34.19	94.22	24.7	14.05	49.27	45.64	18.17	26.03	85.7	44.87	54.3	21.62	58.15	99.42	76.44	24.21	34.16	41.06	25.79	33.5	35.67	20.35	66.76	76.6	92.51	78.44	28.46	72.74	19.01	37.62	47.59	19.27	18.16	16.15	5.37	32.7	20.54	57.59	43.7	16.95	49.78	58.31	70.44	22.23	18.87	53.25	5.09	18.75	38.19	83.19	86.47	48.44	30.62	33.15	66.67	14.92	47.77	59.65	19.41	38.42	28.43	12.44	27.5	26.98	46.02	36.07	52.72	47.49	26.32	10.83	50.1	16.08
26	32.13	36.32	69.14	75.3	29.9	113.51	99.36	114.83	119.94	52.55	72.45	8.11	67.94	81.85	65.04	22.93	78.24	62.35	65.02	61.26	79.83	4.82	39.2	20.34	76.62	34.19	0.0	122.2	9.72	20.26	21.93	18.78	40.44	43.14	54.82	14.3	48.89	55.61	85.38	133.21	42.28	33.3	41.88	45.55	59.47	12.19	15.15	37.28	81.74	43.87	95.65	84.41	17.07	59.55	15.28	69.44	48.65	16.99	19.87	32.88	36.32	20.49	53.7	51.87	77.86	36.74	48.11	63.47	96.75	55.96	29.91	44.26	34.97	52.24	68.48	54.04	84.53	31.05	46.9	7.35	75.13	44.24	14.8	34.81	39.99	38.37	50.3	36.17	42.85	13.98	28.34	6.78	82.76	74.84	52.57	24.82	54.96	32.13
27	108.65	113.12	138.94	171.49	122.43	96.95	153.76	106.23	74.04	88.09	135.18	114.15	162.39	86.17	145.71	134.89	62.24	73.9	143.21	62.72	50.5	120.11	125.49	141.31	147.59	94.22	122.2	0.0	113.09	106.04	141.84	122.26	105.55	112.78	155.38	125.65	146.08	76.42	36.84	51.21	161.07	89.87	123.79	85.74	71.83	114.12	128.91	110.32	138.23	152.9	173.08	158.34	107.12	165.83	108.58	57.75	137.46	112.27	102.44	89.36	96.31	106.82	74.9	98.24	64.79	107.06	140.59	143.18	25.9	83.76	92.35	146.28	97.3	77.03	56.11	175.69	172.52	112.97	115.67	117.17	146.43	79.96	130.62	153.29	82.22	130.48	72.0	102.92	114.86	109.0	112.77	126.74	41.83	47.48	102.38	104.69	137.12	108.65
28	25.24	30.6	66.28	77.41	33.46	105.09	96.08	106.86	114.67	43.52	68.78	2.54	69.4	78.14	63.7	26.35	68.59	52.77	63.25	51.7	70.13	7.07	36.35	28.38	74.43	24.7	9.72	113.09	0.0	11.12	29.31	23.33	33.21	37.29	62.31	20.96	49.85	45.97	76.26	123.5	51.94	25.52	38.41	39.92	49.78	12.09	18.49	30.93	77.83	52.3	95.28	83.06	12.4	63.34	5.69	59.76	47.6	10.05	10.72	23.77	27.28	17.36	43.98	49.51	68.25	29.67	47.86	61.85	87.83	46.72	21.3	46.14	25.96	42.55	58.92	62.68	85.46	31.75	41.51	9.4	72.9	34.59	23.21	41.75	30.93	36.92	41.47	28.24	37.42	8.66	28.94	13.71	73.26	65.64	45.09	16.14	53.11	25.24
