param n:= 50 ;
param r:= 2 ;

param Tmax:= 1000 ;

param cant_clases:= 10 ;

param b:=
1	48.17	0.0	58.68	100.32	17.36	37.91	97.63	54.56	37.63	70.5	74.43	79.97	91.44	58.68	11.0	61.74	17.69	72.15	49.02	58.28	22.12	97.79	63.96	45.66	89.21	55.71	36.47	96.01	11.17	28.42	68.41	46.44	55.58	37.79	71.53	64.71	34.77	60.06	89.74	74.27	92.52	38.82	98.31	88.53	55.33	79.4	127.09	86.14	98.87	48.17
2	24.9	58.68	0.0	82.31	66.23	72.81	79.58	39.64	79.56	27.41	54.05	56.15	34.02	104.55	53.37	21.4	46.61	65.15	42.42	103.7	78.42	39.43	59.33	19.43	30.71	25.68	33.58	89.96	50.57	72.67	12.1	19.77	20.07	93.86	47.05	32.01	24.44	36.21	34.89	17.17	47.06	35.05	52.28	31.46	19.77	60.82	74.82	28.03	74.03	24.9
3	63.76	100.32	82.31	0.0	90.99	134.63	2.85	49.34	136.95	56.26	29.27	26.17	99.5	158.99	89.32	103.69	103.49	145.28	119.35	97.05	120.89	97.45	36.53	95.85	92.09	106.77	104.76	19.24	89.6	127.78	90.67	69.85	63.5	134.9	35.62	50.38	81.67	48.18	106.23	76.03	125.08	65.17	50.06	76.37	63.87	22.66	72.84	93.58	12.16	63.76
4	49.41	17.36	66.23	90.99	0.0	54.25	88.49	50.55	52.43	71.47	68.11	73.95	100.15	70.23	13.68	73.83	33.74	89.15	65.03	41.94	31.04	105.56	54.63	57.28	96.79	68.93	51.0	83.98	16.91	43.64	77.33	49.93	57.74	43.98	66.83	63.65	41.95	57.39	99.77	79.74	105.32	37.64	97.54	93.24	57.59	71.97	127.71	94.26	91.49	49.41
5	74.71	37.91	72.81	134.63	54.25	0.0	131.83	86.03	9.23	94.25	106.74	111.7	97.91	32.37	47.89	63.64	31.37	47.55	38.18	90.58	30.37	105.89	99.27	53.72	98.6	55.42	39.35	132.51	46.49	11.9	77.59	70.31	79.59	36.26	102.36	91.86	56.45	89.59	92.97	89.96	87.02	69.73	122.41	104.04	79.24	112.57	147.51	94.64	131.33	74.71
6	60.92	97.63	79.58	2.85	88.49	131.83	0.0	46.5	134.2	53.66	26.43	23.43	97.18	156.31	86.64	100.95	100.68	142.45	116.51	95.39	118.29	95.28	33.95	93.02	89.79	103.98	101.91	19.5	86.89	125.04	88.04	67.01	60.7	132.36	32.82	47.63	78.82	45.34	103.82	73.52	122.56	62.34	48.43	74.17	61.07	19.81	72.09	91.21	11.03	60.92
7	15.85	54.56	39.64	49.34	50.55	86.03	46.5	0.0	89.2	25.62	20.72	25.78	68.25	112.48	44.06	59.39	54.67	97.33	70.81	75.64	76.47	70.28	19.74	48.31	62.19	60.51	55.69	52.18	43.39	80.23	50.92	22.19	19.89	91.73	16.97	15.43	32.47	7.63	72.01	42.63	86.6	16.36	47.66	51.95	20.12	26.79	78.39	61.55	45.31	15.85
8	79.07	37.63	79.56	136.95	52.43	9.23	134.2	89.2	0.0	99.55	109.78	114.98	106.02	25.0	48.36	71.85	35.44	56.48	47.02	85.84	24.79	113.87	100.99	60.88	106.36	63.7	46.58	133.55	47.55	9.24	85.15	75.2	84.63	27.76	105.88	96.33	61.36	93.39	101.38	96.72	96.04	72.84	127.86	110.98	84.29	115.32	153.86	102.49	134.43	79.07
9	22.46	70.5	27.41	56.26	71.47	94.25	53.66	25.62	99.55	0.0	30.24	30.68	45.76	124.25	61.71	48.55	64.26	92.48	68.73	100.89	92.41	46.22	41.48	44.66	38.89	53.03	57.1	66.61	59.93	91.44	34.45	24.58	15.11	108.19	23.13	10.46	38.23	18.35	51.24	20.4	69.06	33.84	28.35	26.62	15.41	36.49	56.68	39.26	47.08	22.46
10	34.5	74.43	54.05	29.27	68.11	106.74	26.43	20.72	109.78	30.24	0.0	5.89	75.86	132.79	63.63	75.24	75.39	116.07	90.08	85.19	95.99	75.61	17.46	66.64	68.82	77.83	75.55	36.47	63.34	100.75	63.47	40.58	34.59	110.88	7.18	22.15	52.57	18.92	81.48	50.63	98.87	37.03	38.23	54.88	34.95	6.81	68.3	69.44	24.65	34.5
11	38.45	79.97	56.15	26.17	73.95	111.7	23.43	25.78	114.98	30.68	5.89	0.0	75.53	138.18	69.23	77.52	80.33	119.34	93.71	90.69	101.63	74.62	22.86	69.96	68.31	80.64	79.56	36.42	68.84	106.01	64.82	44.29	37.42	116.6	9.74	24.21	56.85	22.74	81.63	50.93	99.74	42.14	34.06	53.6	37.8	6.9	63.49	69.28	19.71	38.45
12	56.46	91.44	34.02	99.5	100.15	97.91	97.18	68.25	106.02	45.76	75.86	75.53	0.0	130.26	87.09	34.28	77.23	73.12	60.91	137.49	109.61	8.47	86.51	46.85	7.47	42.53	60.14	111.92	84.18	100.71	23.05	52.7	49.08	124.43	68.83	55.38	58.22	62.4	8.69	25.81	29.53	68.02	54.51	23.84	48.96	81.83	62.27	6.69	88.65	56.46
13	103.35	58.68	104.55	158.99	70.23	32.37	156.31	112.48	25.0	124.25	132.79	138.18	130.26	0.0	69.67	95.99	60.0	73.36	70.09	95.31	39.2	138.26	122.57	85.76	130.95	87.75	71.41	153.88	69.55	32.83	109.87	99.78	109.25	30.16	129.36	120.59	86.03	117.18	125.2	121.71	118.09	96.24	152.59	135.94	108.92	137.98	178.84	127.01	157.35	103.35
14	39.25	11.0	53.37	89.32	13.68	47.89	86.64	44.06	48.36	61.71	63.63	69.23	87.09	69.67	0.0	60.15	21.88	77.45	52.36	55.22	32.43	92.8	52.96	43.61	84.07	55.28	37.71	85.19	3.24	39.13	64.14	38.55	47.17	47.71	61.0	55.11	28.94	49.93	86.39	67.74	91.63	28.83	88.99	81.64	46.96	68.49	118.38	81.36	87.99	39.25
15	43.71	61.74	21.4	103.69	73.83	63.64	100.95	59.39	71.85	48.55	75.24	77.52	34.28	95.99	60.15	0.0	45.52	45.1	27.02	114.53	77.44	42.37	79.08	16.55	35.64	8.26	26.94	110.79	56.95	66.93	16.95	37.57	40.79	91.57	68.32	53.34	34.42	56.97	29.72	33.49	31.58	51.02	71.26	44.88	40.45	82.04	89.59	31.51	95.4	43.71
16	43.67	17.69	46.61	103.49	33.74	31.37	100.68	54.67	35.44	64.26	75.39	80.33	77.23	60.0	21.88	45.52	0.0	55.65	31.44	75.52	32.39	84.23	68.68	30.42	75.96	38.83	19.18	102.4	19.18	27.19	54.6	39.8	49.26	47.43	71.0	60.92	26.03	58.28	74.53	63.41	75.53	38.41	92.6	77.86	48.93	81.29	119.37	72.52	99.96	43.67
17	81.85	72.15	65.15	145.28	89.15	47.55	142.45	97.33	56.48	92.48	116.07	119.34	73.12	73.36	77.45	45.1	55.65	0.0	26.95	130.38	75.46	81.53	115.72	49.43	77.22	39.47	43.01	149.39	74.57	57.8	61.88	75.59	81.95	83.76	109.7	95.41	65.57	97.16	65.39	78.58	50.69	84.21	116.35	89.25	81.57	122.82	133.47	73.06	138.24	81.85
18	55.62	49.02	42.42	119.35	65.03	38.18	116.51	70.81	47.02	68.73	90.08	93.71	60.91	70.09	52.36	27.02	31.44	26.95	0.0	106.92	58.25	69.18	88.89	24.15	62.66	18.93	16.1	122.69	49.29	43.96	43.08	49.5	56.69	70.26	83.99	70.24	38.72	71.18	55.26	58.22	49.19	57.3	94.71	71.02	56.31	96.76	115.71	58.52	112.98	55.62
19	82.03	58.28	103.7	97.05	41.94	90.58	95.39	75.64	85.84	100.89	85.19	90.69	137.49	95.31	55.22	114.53	75.52	130.38	106.92	0.0	61.05	141.73	67.83	98.05	133.02	110.28	92.88	82.58	58.45	78.77	115.55	84.9	90.29	65.15	87.43	91.03	80.87	83.26	138.42	114.3	146.11	69.84	121.83	126.16	90.28	85.82	152.66	131.14	102.6	82.03
20	70.18	22.12	78.42	120.89	31.04	30.37	118.29	76.47	24.79	92.41	95.99	101.63	109.61	39.2	32.43	77.44	32.39	75.46	58.25	61.05	0.0	116.58	84.36	62.79	108.25	70.21	50.54	114.89	33.22	18.53	86.95	68.1	77.39	15.79	93.42	86.83	55.61	82.14	106.78	94.77	106.2	60.91	120.35	109.18	77.12	100.66	148.86	104.87	120.22	70.18
21	59.91	97.79	39.43	97.45	105.56	105.89	95.28	70.28	113.87	46.22	75.61	74.62	8.47	138.26	92.8	42.37	84.23	81.53	69.18	141.73	116.58	0.0	87.63	54.04	8.78	50.63	67.7	111.0	89.99	108.32	29.63	56.87	52.02	131.59	68.8	56.39	63.87	63.86	16.45	27.85	36.44	71.91	50.34	21.13	51.96	81.18	54.85	11.71	86.16	59.91
22	35.39	63.96	59.33	36.53	54.63	99.27	33.95	19.74	100.99	41.48	17.46	22.86	86.51	122.57	52.96	79.08	68.68	115.72	88.89	67.83	84.36	87.63	0.0	67.35	80.01	79.89	73.22	34.05	53.45	91.77	70.43	41.65	39.41	98.44	21.15	31.26	50.17	24.17	90.92	60.7	106.18	31.76	55.31	67.91	39.67	18.48	85.67	79.86	37.32	35.39
23	32.59	45.66	19.43	95.85	57.28	53.72	93.02	48.31	60.88	44.66	66.64	69.96	46.85	85.76	43.61	16.55	30.42	49.43	24.15	98.05	62.79	54.04	67.35	0.0	46.0	13.21	14.37	100.49	40.41	54.61	24.57	26.27	32.69	77.6	60.3	46.22	18.94	47.73	44.24	36.39	48.11	37.05	71.24	50.33	32.3	73.4	94.2	42.37	89.05	32.59
24	51.32	89.21	30.71	92.09	96.79	98.6	89.79	62.19	106.36	38.89	68.82	68.31	7.47	130.95	84.07	35.64	75.96	77.22	62.66	133.02	108.25	8.78	80.01	46.0	0.0	43.82	59.94	104.72	81.28	100.52	21.44	48.14	43.55	123.38	61.85	48.77	55.15	56.02	15.47	19.57	36.35	63.24	47.17	16.41	43.47	74.68	56.73	4.21	81.2	51.32
25	44.67	55.71	25.68	106.77	68.93	55.42	103.98	60.51	63.7	53.03	77.83	80.64	42.53	87.75	55.28	8.26	38.83	39.47	18.93	110.28	70.21	50.63	79.89	13.21	43.82	0.0	19.77	112.56	52.04	59.0	24.27	38.33	43.28	84.01	71.16	56.49	32.15	59.11	37.72	40.05	36.81	50.14	77.36	52.3	42.91	84.64	97.04	39.72	99.16	44.67
26	41.12	36.47	33.58	104.76	51.0	39.35	101.91	55.69	46.58	57.1	75.55	79.56	60.14	71.41	37.71	26.94	19.18	43.01	16.1	92.88	50.54	67.7	73.22	14.37	59.94	19.77	0.0	107.16	34.52	40.63	38.61	35.37	43.59	64.66	69.83	56.92	23.25	56.84	56.52	50.67	56.36	41.5	84.53	64.69	43.21	82.1	108.39	56.16	99.11	41.12
27	67.95	96.01	89.96	19.24	83.98	132.51	19.5	52.18	133.55	66.61	36.47	36.42	111.92	153.88	85.19	110.79	102.4	149.39	122.69	82.58	114.89	111.0	34.05	100.49	104.72	112.56	107.16	0.0	86.16	124.31	99.84	74.31	70.04	127.69	43.65	58.48	84.0	53.83	117.83	87.0	135.33	65.77	66.71	89.93	70.37	30.14	91.54	105.61	30.47	67.95
28	37.49	11.17	50.57	89.6	16.91	46.49	86.89	43.39	47.55	59.93	63.34	68.84	84.18	69.55	3.24	56.95	19.18	74.57	49.29	58.45	33.22	89.99	53.45	40.41	81.28	52.04	34.52	86.16	0.0	38.32	61.19	36.37	45.2	48.76	60.36	53.74	26.14	48.92	83.35	65.22	88.41	27.69	87.49	79.23	44.98	68.43	116.6	78.5	87.84	37.49
29	70.55	28.42	72.67	127.78	43.64	11.9	125.04	80.23	9.24	91.44	100.75	106.01	100.71	32.83	39.13	66.93	27.19	57.8	43.96	78.77	18.53	108.32	91.77	54.61	100.52	59.0	40.63	124.31	38.32	0.0	79.13	66.95	76.42	26.62	96.98	87.8	53.22	84.61	96.65	89.76	93.09	63.89	119.79	104.13	76.1	106.22	146.38	96.77	125.39	70.55
30	36.78	68.41	12.1	90.67	77.33	77.59	88.04	50.92	85.15	34.45	63.47	64.82	23.05	109.87	64.14	16.95	54.6	61.88	43.08	115.55	86.95	29.63	70.43	24.57	21.44	24.27	38.61	99.84	61.19	79.13	0.0	31.85	31.05	101.99	56.32	41.36	35.39	46.69	22.88	16.87	35.79	47.15	54.72	28.05	30.8	70.1	72.79	17.92	81.45	36.78
31	6.35	46.44	19.77	69.85	49.93	70.31	67.01	22.19	75.2	24.58	40.58	44.29	52.7	99.78	38.55	37.57	39.8	75.59	49.5	84.9	68.1	56.87	41.65	26.27	48.14	38.33	35.37	74.31	36.37	66.95	31.85	0.0	9.49	83.9	34.55	21.8	13.87	21.68	54.48	29.97	66.38	15.39	52.9	43.32	9.17	47.28	80.75	46.27	63.76	6.35
32	8.46	55.58	20.07	63.5	57.74	79.59	60.7	19.89	84.63	15.11	34.59	37.42	49.08	109.25	47.17	40.79	49.26	81.95	56.69	90.29	77.39	52.02	39.41	32.69	43.55	43.28	43.59	70.04	45.2	76.42	31.05	9.49	0.0	93.18	27.88	13.54	23.26	16.21	52.31	24.21	66.78	20.79	43.42	36.1	0.39	41.4	71.51	42.42	56.36	8.46
33	85.93	37.79	93.86	134.9	43.98	36.26	132.36	91.73	27.76	108.19	110.88	116.6	124.43	30.16	47.71	91.57	47.43	83.76	70.26	65.15	15.79	131.59	98.44	77.6	123.38	84.01	64.66	127.69	48.76	26.62	101.99	83.9	93.18	0.0	108.63	102.48	71.35	97.61	121.17	110.37	119.15	76.42	136.09	124.8	92.91	115.28	164.65	119.9	134.86	85.93
34	28.73	71.53	47.05	35.62	66.83	102.36	32.82	16.97	105.88	23.13	7.18	9.74	68.83	129.36	61.0	68.32	71.0	109.7	83.99	87.43	93.42	68.8	21.15	60.3	61.85	71.16	69.83	43.65	60.36	96.98	56.32	34.55	27.88	108.63	0.0	15.06	47.18	13.03	74.35	43.5	91.69	33.13	34.53	48.25	28.25	13.81	65.25	62.37	29.35	28.73
35	17.26	64.71	32.01	50.38	63.65	91.86	47.63	15.43	96.33	10.46	22.15	24.21	55.38	120.59	55.11	53.34	60.92	95.41	70.24	91.03	86.83	56.39	31.26	46.22	48.77	56.49	56.92	58.48	53.74	87.8	41.36	21.8	13.54	102.48	15.06	0.0	35.48	7.95	60.24	29.61	76.91	26.36	33.97	37.08	13.93	28.87	64.11	48.76	42.85	17.26
36	18.59	34.77	24.44	81.67	41.95	56.45	78.82	32.47	61.36	38.23	52.57	56.85	58.22	86.03	28.94	34.42	26.03	65.57	38.72	80.87	55.61	63.87	50.17	18.94	55.15	32.15	23.25	84.0	26.14	53.22	35.39	13.87	23.26	71.35	47.18	35.48	0.0	34.15	57.98	39.5	65.69	18.73	66.57	53.78	22.93	59.02	93.69	52.43	76.53	18.59
37	15.72	60.06	36.21	48.18	57.39	89.59	45.34	7.63	93.39	18.35	18.92	22.74	62.4	117.18	49.93	56.97	58.28	97.16	71.18	83.26	82.14	63.86	24.17	47.73	56.02	59.11	56.84	53.83	48.92	84.61	46.69	21.68	16.21	97.61	13.03	7.95	34.15	0.0	66.76	36.6	82.47	21.24	40.33	44.92	16.53	25.67	70.94	55.73	42.38	15.72
38	58.97	89.74	34.89	106.23	99.77	92.97	103.82	72.01	101.38	51.24	81.48	81.63	8.69	125.2	86.39	29.72	74.53	65.39	55.26	138.42	106.78	16.45	90.92	44.24	15.47	37.72	56.52	117.83	83.35	96.65	22.88	54.48	52.31	121.17	74.35	60.24	57.98	66.76	0.0	30.85	20.93	69.86	62.57	31.74	52.13	87.69	70.91	12.82	95.7	58.97
39	32.29	74.27	17.17	76.03	79.74	89.96	73.52	42.63	96.72	20.4	50.63	50.93	25.81	121.71	67.74	33.49	63.41	78.58	58.22	114.3	94.77	27.85	60.7	36.39	19.57	40.05	50.67	87.0	65.22	89.76	16.87	29.97	24.21	110.37	43.5	29.61	39.5	36.6	30.85	0.0	49.06	44.49	37.86	14.45	24.17	56.87	57.86	19.16	66.07	32.29
40	71.91	92.52	47.06	125.08	105.32	87.02	122.56	86.6	96.04	69.06	98.87	99.74	29.53	118.09	91.63	31.58	75.53	50.69	49.19	146.11	106.2	36.44	106.18	48.11	36.35	36.81	56.36	135.33	88.41	93.09	35.79	66.38	66.78	119.15	91.69	76.91	65.69	82.47	20.93	49.06	0.0	81.06	83.22	52.42	66.52	105.37	91.29	33.3	115.05	71.91
41	12.35	38.82	35.05	65.17	37.64	69.73	62.34	16.36	72.84	33.84	37.03	42.14	68.02	96.24	28.83	51.02	38.41	84.21	57.3	69.84	60.91	71.91	31.76	37.05	63.24	50.14	41.5	65.77	27.69	63.89	47.15	15.39	20.79	76.42	33.13	26.36	18.73	21.24	69.86	44.49	81.06	0.0	60.32	56.89	20.72	42.88	90.16	61.54	61.66	12.35
42	50.17	98.31	52.28	50.06	97.54	122.41	48.43	47.66	127.86	28.35	38.23	34.06	54.51	152.59	88.99	71.26	92.6	116.35	94.71	121.83	120.35	50.34	55.31	71.24	47.17	77.36	84.53	66.71	87.49	119.79	54.72	52.9	43.42	136.09	34.53	33.97	66.57	40.33	62.57	37.86	83.22	60.32	0.0	30.83	43.73	40.74	30.88	49.92	38.0	50.17
43	44.54	88.53	31.46	76.37	93.24	104.04	74.17	51.95	110.98	26.62	54.88	53.6	23.84	135.94	81.64	44.88	77.86	89.25	71.02	126.16	109.18	21.13	67.91	50.33	16.41	52.3	64.69	89.93	79.23	104.13	28.05	43.32	36.1	124.8	48.25	37.08	53.78	44.92	31.74	14.45	52.42	56.89	30.83	0.0	36.17	60.24	44.75	19.12	65.2	44.54
44	8.38	55.33	19.77	63.87	57.59	79.24	61.07	20.12	84.29	15.41	34.95	37.8	48.96	108.92	46.96	40.45	48.93	81.57	56.31	90.28	77.12	51.96	39.67	32.3	43.47	42.91	43.21	70.37	44.98	76.1	30.8	9.17	0.39	92.91	28.25	13.93	22.93	16.53	52.13	24.17	66.52	20.72	43.73	36.17	0.0	41.76	71.77	42.31	56.75	8.38
45	41.14	79.4	60.82	22.66	71.97	112.57	19.81	26.79	115.32	36.49	6.81	6.9	81.83	137.98	68.49	82.04	81.29	122.82	96.76	85.82	100.66	81.18	18.48	73.4	74.68	84.64	82.1	30.14	68.43	106.22	70.1	47.28	41.4	115.28	13.81	28.87	59.02	25.67	87.69	56.87	105.37	42.88	40.74	60.24	41.76	0.0	69.7	75.49	19.58	41.14
46	79.14	127.09	74.82	72.84	127.71	147.51	72.09	78.39	153.86	56.68	68.3	63.49	62.27	178.84	118.38	89.59	119.37	133.47	115.71	152.66	148.86	54.85	85.67	94.2	56.73	97.04	108.39	91.54	116.6	146.38	72.79	80.75	71.51	164.65	65.25	64.11	93.69	70.94	70.91	57.86	91.29	90.16	30.88	44.75	71.77	69.7	0.0	60.74	61.07	79.14
47	49.87	86.14	28.03	93.58	94.26	94.64	91.21	61.55	102.49	39.26	69.44	69.28	6.69	127.01	81.36	31.51	72.52	73.06	58.52	131.14	104.87	11.71	79.86	42.37	4.21	39.72	56.16	105.61	78.5	96.77	17.92	46.27	42.42	119.9	62.37	48.76	52.43	55.73	12.82	19.16	33.3	61.54	49.92	19.12	42.31	75.49	60.74	0.0	82.94	49.87
48	58.06	98.87	74.03	12.16	91.49	131.33	11.03	45.31	134.43	47.08	24.65	19.71	88.65	157.35	87.99	95.4	99.96	138.24	112.98	102.6	120.22	86.16	37.32	89.05	81.2	99.16	99.11	30.47	87.84	125.39	81.45	63.76	56.36	134.86	29.35	42.85	76.53	42.38	95.7	66.07	115.05	61.66	38.0	65.2	56.75	19.58	61.07	82.94	0.0	58.06
49	0.0	48.17	24.9	63.76	49.41	74.71	60.92	15.85	79.07	22.46	34.5	38.45	56.46	103.35	39.25	43.71	43.67	81.85	55.62	82.03	70.18	59.91	35.39	32.59	51.32	44.67	41.12	67.95	37.49	70.55	36.78	6.35	8.46	85.93	28.73	17.26	18.59	15.72	58.97	32.29	71.91	12.35	50.17	44.54	8.38	41.14	79.14	49.87	58.06	0.0
;

param W:=
1 7
2 10
3 5
4 6
5 3
6 5
7 5
8 10
9 4
10 6
;

param w
:	1	2	3	4	5	6	7	8	9	10 :=
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	0	0	1	0	0
2	0	0	1	0	0	0	1	0	0	0
3	1	0	1	0	0	1	0	1	0	1
4	0	1	1	0	1	1	1	0	0	1
5	0	1	0	0	0	0	0	0	0	0
6	0	0	1	0	0	1	0	1	0	0
7	0	0	0	0	0	0	1	0	0	0
8	0	0	1	0	0	1	0	0	0	0
9	0	1	0	1	0	1	0	1	0	0
10	0	0	0	1	0	0	0	0	0	0
11	1	1	0	1	0	1	0	0	1	0
12	0	1	0	0	0	0	0	1	0	1
13	0	0	1	0	0	0	0	0	0	0
14	1	0	1	1	1	0	1	0	0	1
15	1	1	0	1	0	0	0	0	0	0
16	1	0	0	0	0	0	0	1	0	0
17	0	0	0	0	0	0	0	0	0	1
18	0	0	0	0	0	1	0	0	0	0
19	0	0	0	0	0	0	1	0	0	0
20	0	0	0	0	0	0	0	0	0	0
21	1	0	0	0	1	0	0	1	0	0
22	1	1	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	1	0
24	0	0	0	0	1	0	0	0	0	0
25	1	1	0	0	0	0	1	0	0	0
26	1	0	0	1	0	0	0	0	1	0
27	0	1	1	0	0	0	0	0	1	0
28	0	1	1	0	0	0	0	0	0	1
29	0	0	0	0	0	0	0	0	1	0
30	0	0	0	0	0	0	0	1	0	0
31	1	0	0	0	0	0	0	0	0	0
32	1	1	1	1	0	0	0	1	0	0
33	0	0	0	0	1	1	0	0	1	0
34	0	0	0	0	0	0	0	0	0	1
35	0	0	0	0	0	0	1	0	0	1
36	0	0	1	0	1	0	0	0	0	0
37	0	1	0	0	0	0	0	1	0	0
38	0	0	0	0	0	0	0	1	0	0
39	0	0	0	0	0	0	0	0	1	0
40	0	0	1	0	0	0	0	0	0	0
41	1	1	0	0	1	0	1	1	0	1
42	0	0	1	0	0	0	0	0	0	1
43	0	0	0	0	0	0	0	1	0	0
44	0	0	0	0	0	0	1	0	0	0
45	0	0	0	0	0	0	0	0	0	0
46	1	0	1	0	0	0	1	0	0	0
47	0	0	0	0	0	0	0	0	0	1
48	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0
;

